zona,centro,puntos
439903-IT OTXARKOAGA-TXURDINAGA-BEGOÑA,014505 - CPEIPS Artxandape Ikastola HLBHIP,min
439905-IT IBAIONDO,014505 - CPEIPS Artxandape Ikastola HLBHIP,min
439906-IT ABANDO-ERREKALDE-BASURTU-ZORROTZA,014505 - CPEIPS Artxandape Ikastola HLBHIP,min
439901-IT DEUSTU,014637 - CPEIPS El Ave María HLBHIP,min
439903-IT OTXARKOAGA-TXURDINAGA-BEGOÑA,014637 - CPEIPS El Ave María HLBHIP,min
439905-IT IBAIONDO,014637 - CPEIPS El Ave María HLBHIP,min
439906-IT ABANDO-ERREKALDE-BASURTU-ZORROTZA,014637 - CPEIPS El Ave María HLBHIP,min
439901-IT DEUSTU,014641 - CPEIPS Esclavas Sc - Fátima HLBHIP,min
439903-IT OTXARKOAGA-TXURDINAGA-BEGOÑA,014641 - CPEIPS Esclavas Sc - Fátima HLBHIP,min
439905-IT IBAIONDO,014641 - CPEIPS Esclavas Sc - Fátima HLBHIP,min
439906-IT ABANDO-ERREKALDE-BASURTU-ZORROTZA,014641 - CPEIPS Esclavas Sc - Fátima HLBHIP,min
439901-IT DEUSTU,014655 - CPEIPS Jesús María HLBHIP,min
439903-IT OTXARKOAGA-TXURDINAGA-BEGOÑA,014655 - CPEIPS Jesús María HLBHIP,min
439905-IT IBAIONDO,014655 - CPEIPS Jesús María HLBHIP,min
439906-IT ABANDO-ERREKALDE-BASURTU-ZORROTZA,014655 - CPEIPS Jesús María HLBHIP,min
439901-IT DEUSTU,014657 - CPEIPS La Inmaculada-Hijas De Jesús HLBHIP,min
439903-IT OTXARKOAGA-TXURDINAGA-BEGOÑA,014657 - CPEIPS La Inmaculada-Hijas De Jesús HLBHIP,min
439905-IT IBAIONDO,014657 - CPEIPS La Inmaculada-Hijas De Jesús HLBHIP,min
439906-IT ABANDO-ERREKALDE-BASURTU-ZORROTZA,014657 - CPEIPS La Inmaculada-Hijas De Jesús HLBHIP,min
439901-IT DEUSTU,014698 - CPEIPS San Pedro Apostol HLBHIP,min
439903-IT OTXARKOAGA-TXURDINAGA-BEGOÑA,014698 - CPEIPS San Pedro Apostol HLBHIP,min
439905-IT IBAIONDO,014698 - CPEIPS San Pedro Apostol HLBHIP,min
439906-IT ABANDO-ERREKALDE-BASURTU-ZORROTZA,014698 - CPEIPS San Pedro Apostol HLBHIP,min
439901-IT DEUSTU,014709 - CPEIPS Trueba De Artxanda HLBHIP,min
439903-IT OTXARKOAGA-TXURDINAGA-BEGOÑA,014709 - CPEIPS Trueba De Artxanda HLBHIP,min
439905-IT IBAIONDO,014709 - CPEIPS Trueba De Artxanda HLBHIP,min
439906-IT ABANDO-ERREKALDE-BASURTU-ZORROTZA,014709 - CPEIPS Trueba De Artxanda HLBHIP,min
439903-IT OTXARKOAGA-TXURDINAGA-BEGOÑA,014507 - CPEIPS Begoñazpi Ikastola HLBHIP,max
439903-IT OTXARKOAGA-TXURDINAGA-BEGOÑA,014629 - CPEIPS Berrio-Otxoa HLBHIP,max
439903-IT OTXARKOAGA-TXURDINAGA-BEGOÑA,014647 - CPEIPS Hijas De La Caridad-N. Sra De Begoña HLBHIP,max
439903-IT OTXARKOAGA-TXURDINAGA-BEGOÑA,014512 - CPEIPS Kirikiño Ikastola HLBHIP,max
439903-IT OTXARKOAGA-TXURDINAGA-BEGOÑA,014680 - CPES Diego Berguices-Otxarkoaga BHIP,max
439901-IT DEUSTU,014507 - CPEIPS Begoñazpi Ikastola HLBHIP,min
439902-IT URIBARRI,014507 - CPEIPS Begoñazpi Ikastola HLBHIP,min
439905-IT IBAIONDO,014507 - CPEIPS Begoñazpi Ikastola HLBHIP,min
439906-IT ABANDO-ERREKALDE-BASURTU-ZORROTZA,014507 - CPEIPS Begoñazpi Ikastola HLBHIP,min
439901-IT DEUSTU,014629 - CPEIPS Berrio-Otxoa HLBHIP,min
439902-IT URIBARRI,014629 - CPEIPS Berrio-Otxoa HLBHIP,min
439905-IT IBAIONDO,014629 - CPEIPS Berrio-Otxoa HLBHIP,min
439906-IT ABANDO-ERREKALDE-BASURTU-ZORROTZA,014629 - CPEIPS Berrio-Otxoa HLBHIP,min
439901-IT DEUSTU,014647 - CPEIPS Hijas De La Caridad-N. Sra De Begoña HLBHIP,min
439902-IT URIBARRI,014647 - CPEIPS Hijas De La Caridad-N. Sra De Begoña HLBHIP,min
439905-IT IBAIONDO,014647 - CPEIPS Hijas De La Caridad-N. Sra De Begoña HLBHIP,min
439906-IT ABANDO-ERREKALDE-BASURTU-ZORROTZA,014647 - CPEIPS Hijas De La Caridad-N. Sra De Begoña HLBHIP,min
439901-IT DEUSTU,014512 - CPEIPS Kirikiño Ikastola HLBHIP,min
439902-IT URIBARRI,014512 - CPEIPS Kirikiño Ikastola HLBHIP,min
439905-IT IBAIONDO,014512 - CPEIPS Kirikiño Ikastola HLBHIP,min
439906-IT ABANDO-ERREKALDE-BASURTU-ZORROTZA,014512 - CPEIPS Kirikiño Ikastola HLBHIP,min
439901-IT DEUSTU,014680 - CPES Diego Berguices-Otxarkoaga BHIP,min
